year,month,season,time_period,country_clean,state_clean,activity_group,sex,age,age_group,fatal,type_clean,injury,time_labels
2025,5,Spring,06:00-11:59,AUSTRALIA,SOUTH AUSTRALIA,Swimming,Male,66,60-69,No,Unprovoked,Injury to thigh,morning
2025,3,Spring,12:00-17:59,AUSTRALIA,WESTERN AUSTRALIA,Swimming,Male,30,30-39,No,Unprovoked,Bumping to the body,afternoon
2025,3,Spring,12:00-17:59,AUSTRALIA,WESTERN AUSTRALIA,Surfing/Boardsports,Male,37,30-39,Yes,Unprovoked,Missing body not recovered,afternoon
2025,3,Spring,12:00-17:59,AUSTRALIA,NEW SOUTH WALES,Swimming,Female,56,50-59,No,Unprovoked,Serious lacerations above right knee.,afternoon
2025,2,Winter,06:00-11:59,AUSTRALIA,WESTERN AUSTRALIA,Boating/Paddling,Female,35,30-39,No,Unprovoked,None kayak badly damaged by shark,morning
2025,2,Winter,12:00-17:59,AUSTRALIA,QUEENSLAND,Diving/Snorkeling,Male,29,20-29,No,Unprovoked,Abdominal and leg injuries,afternoon
2025,2,Winter,12:00-17:59,AUSTRALIA,QUEENSLAND,Swimming,Female,17,10-19,Yes,Unprovoked,Bites to arm and upper body,afternoon
2025,1,Winter,12:00-17:59,AUSTRALIA,WESTERN AUSTRALIA,Swimming,Male,12,10-19,No,Unprovoked,Minor bite to lower body,afternoon
2025,1,Winter,12:00-17:59,AUSTRALIA,WESTERN AUSTRALIA,Surfing/Boardsports,Male,37,30-39,No,Unprovoked,None - chunk of surfboard  bitten out,afternoon
2025,1,Winter,12:00-17:59,USA,HAWAII,Diving/Snorkeling,Male,23,20-29,No,Provoked,Bitten on the arm,afternoon
2025,1,Winter,12:00-17:59,AUSTRALIA,SOUTH AUSTRALIA,Surfing/Boardsports,Male,28,20-29,Yes,Unprovoked,Body not recovered,afternoon
2024,12,Winter,12:00-17:59,AUSTRALIA,QUEENSLAND,Fishing,Male,40,40-49,Yes,Unprovoked,Life threatening injuries to neck and arm,afternoon
2024,10,Autumn,12:00-17:59,AUSTRALIA,QUEENSLAND,Diving/Snorkeling,Female,57,50-59,No,Unprovoked,30cm (1ft) bite to lower calf ,afternoon
2024,7,Summer,06:00-11:59,AUSTRALIA,NEW SOUTH WALES,Surfing/Boardsports,Male,23,20-29,No,Unprovoked,Serious injury to leg,morning
2024,7,Summer,12:00-17:59,AUSTRALIA,WESTERN AUSTRALIA,Surfing/Boardsports,Male,41,40-49,No,Unprovoked,Minor injury to lower left leg,afternoon
2024,7,Summer,06:00-11:59,USA,FLORIDA,Diving/Snorkeling,Male,14,10-19,No,Unprovoked,Lower left leg injury,morning
2024,7,Summer,06:00-11:59,AUSTRALIA,WESTERN AUSTRALIA,Fishing,Male,43,40-49,No,Unprovoked,Not specified ,morning
2024,7,Summer,12:00-17:59,USA,FLORIDA,In Water,Male,26,20-29,No,Unprovoked,Minor injury to left foot,afternoon
2024,7,Summer,06:00-11:59,USA,FLORIDA,In Water,Male,21,20-29,No,Unprovoked,Minor injury to right foot four tendons ruptured,morning
2024,7,Summer,06:00-11:59,USA,FLORIDA,Swimming,Male,-1,Unknown,No,Unprovoked,Bite to left leg  ,morning
2024,6,Summer,12:00-17:59,USA,HAWAII,Boating/Paddling,Female,25,20-29,No,Unprovoked,Multiple serious lacerations to the body,afternoon
2024,6,Summer,12:00-17:59,USA,FLORIDA,In Water,Female,15,10-19,No,Unprovoked,Left hand bitten off and right leg bitten,afternoon
2024,6,Summer,12:00-17:59,USA,FLORIDA,Swimming,Female,45,40-49,No,Unprovoked,Significant injuries to pelvic and abdominal region lower left arm amputated,afternoon
2024,5,Spring,12:00-17:59,USA,GALVESTON,In Water,Female,19,10-19,No,Unprovoked,Bitten on left hand by 4-5ft shark,afternoon
2024,5,Spring,12:00-17:59,USA,SOUTH CAROLINA,Fishing,Male,65,60-69,No,Unprovoked,Bitten on left arm,afternoon
2024,4,Spring,12:00-17:59,AUSTRALIA,SOUTH AUSTRALIA,Fishing,Male,16,10-19,No,Unprovoked,Minor bite to left leg,afternoon
2024,4,Spring,12:00-17:59,AUSTRALIA,WESTERN AUSTRALIA,Surfing/Boardsports,Male,26,20-29,No,Unprovoked,Minor injuries left foot,afternoon
2024,3,Spring,12:00-17:59,AUSTRALIA,QUEENSLAND,Swimming,Female,13,10-19,No,Unprovoked,"Minor injuries to back, abdomen and legs",afternoon
2024,3,Spring,12:00-17:59,USA,HAWAII,Swimming,Female,11,10-19,No,Unprovoked,Lacerations to left foot,afternoon
2024,2,Winter,06:00-11:59,AUSTRALIA,WESTERN AUSTRALIA,Swimming,Female,46,40-49,No,Unprovoked,Leg bitten,morning
2024,1,Winter,18:00-20:59,AUSTRALIA,NEW SOUTH WALES,Swimming,Female,29,20-29,No,Unprovoked,Right leg bitten,evening
2024,1,Winter,12:00-17:59,AUSTRALIA,SOUTH AUSTRALIA,Surfing/Boardsports,Male,64,60-69,No,Unprovoked,Leg bitten,afternoon
2023,12,Winter,06:00-11:59,USA,HAWAII,Surfing/Boardsports,Male,39,30-39,Yes,Unprovoked,FATAL,morning
2023,12,Winter,12:00-17:59,AUSTRALIA,SOUTH AUSTRALIA,Surfing/Boardsports,Male,15,10-19,Yes,Unprovoked,FATAL,afternoon
2023,12,Winter,12:00-17:59,AUSTRALIA,NEW SOUTH WALES,Surfing/Boardsports,Male,16,10-19,No,Unprovoked,Injury to right thigh,afternoon
2023,12,Winter,12:00-17:59,AUSTRALIA,WESTERN AUSTRALIA,Surfing/Boardsports,Male,46,40-49,No,Unprovoked,Puncture wounds to right ankle,afternoon
2023,12,Winter,12:00-17:59,AUSTRALIA,QUEENSLAND,Diving/Snorkeling,Male,20,20-29,No,Unprovoked,Leg severely  injured,afternoon
2023,11,Autumn,06:00-11:59,AUSTRALIA,QUEENSLAND,Swimming,Male,21,20-29,No,Unprovoked,Puncture wounds to right upper arm,morning
2023,11,Autumn,12:00-17:59,AUSTRALIA,SOUTH AUSTRALIA,Diving/Snorkeling,Female,32,30-39,No,Unprovoked,Injuries to scalp and face,afternoon
2023,11,Autumn,06:00-11:59,USA,FLORIDA,Swimming,Male,66,60-69,No,Unprovoked,Lacerations to right forearm,morning
2023,11,Autumn,12:00-17:59,AUSTRALIA,WESTERN AUSTRALIA,Fishing,Male,-1,Unknown,No,Unprovoked,Minor injury,afternoon
2023,10,Autumn,06:00-11:59,AUSTRALIA,SOUTH AUSTRALIA,Surfing/Boardsports,Male,55,50-59,Yes,Unprovoked,FATAL,morning
2023,10,Autumn,12:00-17:59,USA,HAWAII,Surfing/Boardsports,Male,30,30-39,No,Unprovoked,Bite to right thigh,afternoon
2023,10,Autumn,12:00-17:59,AUSTRALIA,WESTERN AUSTRALIA,Fishing,Male,-1,Unknown,No,Watercraft, Dinghy damaged by shark. No injurty to the 5 men onboard,afternoon
2023,10,Autumn,12:00-17:59,USA,HAWAII,Surfing/Boardsports,Male,50,50-59,No,Unprovoked,Left leg and hand injured,afternoon
2023,10,Autumn,12:00-17:59,USA,CALIFORNIA,Surfing/Boardsports,Male,52,50-59,No,Unprovoked,Minor linjury to left lower leg ,afternoon
2023,10,Autumn,12:00-17:59,USA,HAWAII,Surfing/Boardsports,Female,45,40-49,No,Unprovoked,Minor injury. Shark bit surfboard,afternoon
2023,10,Autumn,06:00-11:59,AUSTRALIA,SOUTH AUSTRALIA,Swimming,Female,64,60-69,No,Unprovoked,Minor injury. Shark bit surfboard,morning
2023,10,Autumn,06:00-11:59,USA,CALIFORNIA,Swimming,Male,52,50-59,Yes,Unprovoked,Body not recovered,morning
2023,9,Autumn,12:00-17:59,USA,SOUTH CAROLINA,Swimming,Male,-1,Unknown,No,Unprovoked,Non-lifethreatening injuries,afternoon
2023,8,Summer,06:00-11:59,AUSTRALIA,NEW SOUTH WALES,Surfing/Boardsports,Male,44,40-49,Unknown,Unprovoked,Severe injuries to lower limbs,morning
2023,8,Summer,06:00-11:59,USA,NORTH CAROLINA,In Water,Unknown,9,0-9,No,Unprovoked,Minor injury to shoulder,morning
2023,8,Summer,12:00-17:59,USA,CALIFORNIA,Fishing,Male,19,10-19,No,Watercraft,"Shark bit kayak, no injury to occupant",afternoon
2023,8,Summer,12:00-17:59,USA,NEW YORK,In Water,Female,65,60-69,No,Unprovoked,Laceration to left posterior thigh,afternoon
2023,7,Summer,06:00-11:59,USA,FLORIDA,Surfing/Boardsports,Male,22,20-29,No,Unprovoked,Ankle injured,morning
2023,7,Summer,12:00-17:59,USA,FLORIDA,Fishing,Male,22,20-29,No,Unprovoked,Lower leg bitten,afternoon
2023,7,Summer,18:00-20:59,USA,FLORIDA,Swimming,Female,26,20-29,No,Unprovoked,Superficial injuries to abomen and thighs,evening
2023,7,Summer,06:00-11:59,AUSTRALIA,WESTERN AUSTRALIA,Surfing/Boardsports,Male,20,20-29,No,Unprovoked,Laceration to leg,morning
2023,7,Summer,12:00-17:59,USA,SOUTH CAROLINA,Surfing/Boardsports,Male,60,60-69,No,Unprovoked,Right foot injured,afternoon
2023,7,Summer,12:00-17:59,USA,FLORIDA,In Water,Male,49,40-49,No,Unprovoked,Superficial injury to back,afternoon
2023,7,Summer,12:00-17:59,USA,FLORIDA,Surfing/Boardsports,Male,21,20-29,No,Unprovoked,Severe injury to foot,afternoon
2023,7,Summer,12:00-17:59,USA,NEW YORK,In Water,Female,-1,Unknown,No,Unprovoked,Puncture wounds to thigh,afternoon
2023,7,Summer,12:00-17:59,USA,NEW YORK,Swimming,Male,49,40-49,No,Unprovoked,Injury to right hand,afternoon
2023,7,Summer,12:00-17:59,USA,NEW YORK,Swimming,Male,47,40-49,No,Unprovoked,Laceration to right knee,afternoon
2023,7,Summer,12:00-17:59,USA,NEW YORK,Surfing/Boardsports,Male,15,10-19,No,Unprovoked,Injury to left heel and toes,afternoon
2023,7,Summer,12:00-17:59,USA,NEW YORK,Swimming,Female,15,10-19,No,Unprovoked,3 small puncture wounds to left leg,afternoon
2023,6,Summer,06:00-11:59,USA,FLORIDA,Fishing,Male,-1,Unknown,No,Unprovoked,Hand bitten,morning
2023,5,Spring,12:00-17:59,USA,UTAH,Shark interaction,Female,26,20-29,No,Provoked,Bitten on hand minor injury,afternoon
2023,5,Spring,12:00-17:59,USA,NEW JERSEY,Surfing/Boardsports,Female,15,10-19,No,Unprovoked,Lacerations to left foot and calf,afternoon
2023,5,Spring,18:00-20:59,USA,FLORIDA,Fishing,Male,35,30-39,No,Provoked,PROVOKED INCIDENT   Hooked shark bit his foot,evening
2023,5,Spring,12:00-17:59,USA,FLORIDA,Fishing,Male,20,20-29,No,Unprovoked, ,afternoon
2023,5,Spring,12:00-17:59,USA,SOUTH CAROLINA,Swimming,Female,24,20-29,No,Unprovoked,Minor inuries to right knee,afternoon
2023,5,Spring,06:00-11:59,AUSTRALIA,SOUTH AUSTRALIA,Surfing/Boardsports,Male,46,40-49,Yes,Unprovoked,FATAL,morning
2023,5,Spring,12:00-17:59,USA,FLORIDA,In Water,Female,13,10-19,No,Unprovoked,Multiple bites,afternoon
2023,5,Spring,06:00-11:59,USA,FLORIDA,Fishing,Male,22,20-29,No,Unprovoked,Injury to lower leg,morning
2023,5,Spring,18:00-20:59,SOUTH AFRICA,EASTERN CAPE PROVINCE,Surfing/Boardsports,Male,50,50-59,No,Unprovoked,Leg injured,evening
2023,4,Spring,06:00-11:59,AUSTRALIA,WESTERN AUSTRALIA,Swimming,Male,-1,Unknown,No,Unprovoked,Minor injuries,morning
2023,4,Spring,12:00-17:59,AUSTRALIA,WESTERN AUSTRALIA,Diving/Snorkeling,Male,11,10-19,No,Unprovoked,Cuts to leg,afternoon
2023,4,Spring,06:00-11:59,AUSTRALIA,WESTERN AUSTRALIA,Surfing/Boardsports,Male,30,30-39,No,Unprovoked,Bite to right arm,morning
2023,4,Spring,12:00-17:59,USA,FLORIDA,Surfing/Boardsports,Female,50,50-59,No,Unprovoked,Lacerations to leg,afternoon
2023,4,Spring,06:00-11:59,USA,FLORIDA,Fishing,Male,-1,Unknown,No,Watercraft,"No injury, kayak damaged",morning
2023,4,Spring,06:00-11:59,USA,HAWAII,Surfing/Boardsports,Male,58,50-59,No,Unprovoked,Injuries to right foot ,morning
2023,3,Spring,12:00-17:59,USA,FLORIDA,Surfing/Boardsports,Male,67,60-69,No,Unprovoked,Lacertions to right calf,afternoon
2023,3,Spring,18:00-20:59,AUSTRALIA,WESTERN AUSTRALIA,In Water,Male,30,30-39,No,Unprovoked,Lower left leg and foot injured,evening
2023,3,Spring,12:00-17:59,USA,HAWAII,Swimming,Male,60,60-69,No,Unprovoked,Left hand and  left leg.,afternoon
2023,2,Winter,12:00-17:59,USA,FLORIDA,Surfing/Boardsports,Male,60,60-69,No,Unprovoked,Injury to lower leg,afternoon
2023,2,Winter,12:00-17:59,AUSTRALIA,WESTERN AUSTRALIA,Swimming,Female,16,10-19,Yes,Unprovoked,Fatal,afternoon
2023,1,Winter,12:00-17:59,USA,FLORIDA,Swimming,Male,34,30-39,No,Unprovoked,Lacerations to leg,afternoon
2023,1,Winter,12:00-17:59,USA,FLORIDA,Fishing,Male,30,30-39,No,Provoked,Knocked spear out of his hands and fin bitten,afternoon
2022,12,Winter,06:00-11:59,SOUTH AFRICA,KNZ,Shark interaction,Male,26,20-29,No,Provoked,Hamd bitten,morning
2022,12,Winter,06:00-11:59,USA,HAWAII,Swimming,Male,68,60-69,No,Unprovoked,"Lower left torso, defensive wounds to hands",morning
2022,12,Winter,12:00-17:59,USA,SAMOA,Diving/Snorkeling,Male,43,40-49,No,Unprovoked,Left leg bitten,afternoon
2022,12,Winter,12:00-17:59,USA,HAWAII,Diving/Snorkeling,Female,60,60-69,Yes,Unprovoked,Fatal attack,afternoon
2022,11,Autumn,12:00-17:59,USA,FLORIDA,Swimming,Female,10,10-19,No,Unprovoked,Foot bitten,afternoon
2022,11,Autumn,06:00-11:59,USA,CALIFORNIA,Swimming,Female,50,50-59,No,Unprovoked,Shallow punctures & lacerations to right thigh,morning
2022,11,Autumn,12:00-17:59,USA,FLORIDA,Fishing,Male,29,20-29,No,Provoked,Right knee & thigh bitten by hooked shark,afternoon
2022,10,Autumn,12:00-17:59,USA,CALIFORNIA,Surfing/Boardsports,Male,-1,Unknown,No,Unprovoked,Minor inury from shark's fin,afternoon
2022,10,Autumn,06:00-11:59,USA,LOUISIANA,Fishing,Male,40,40-49,No,Sea Disaster,Minor injuries to hands,morning
2022,10,Autumn,12:00-17:59,USA,HAWAII,Diving/Snorkeling,Male,51,50-59,No,Unprovoked,"No injury, swim fin bitten",afternoon
2022,10,Autumn,06:00-11:59,AUSTRALIA,SOUTH AUSTRALIA,Surfing/Boardsports,Male,19,10-19,No,Unprovoked,"No injury, ski holed by shark",morning
2022,10,Autumn,06:00-11:59,AUSTRALIA,WESTERN AUSTRALIA,Fishing,Male,38,30-39,No,Unprovoked,"Multiple injuries to left shoulder, arm and hand",morning
2022,10,Autumn,18:00-20:59,AUSTRALIA,VICTORIA,Surfing/Boardsports,Male,17,10-19,No,Unprovoked,Lacerations to foot,evening
2022,10,Autumn,12:00-17:59,USA,CALIFORNIA,Surfing/Boardsports,Male,31,30-39,No,Unprovoked,Thigh injured,afternoon
2022,9,Autumn,06:00-11:59,SOUTH AFRICA,WESTERN CAPE PROVINCE,Swimming,Female,39,30-39,Yes,Unprovoked,FATAL,morning
2022,9,Autumn,12:00-17:59,USA,HAWAII,Diving/Snorkeling,Female,51,50-59,No,Unprovoked,Injuries to left arm and right hand,afternoon
2022,8,Summer,06:00-11:59,AUSTRALIA,NEW SOUTH WALES,Surfing/Boardsports,Male,14,10-19,No,Unprovoked,Puncture wounds to right hand & forearm,morning
2022,8,Summer,06:00-11:59,USA,SOUTH CAROLINA,Swimming,Female,-1,Unknown,No,Unprovoked,Minor injury to leg,morning
2022,8,Summer,12:00-17:59,USA,SOUTH CAROLINA,In Water,Female,-1,Unknown,No,Unprovoked,Multiple lLacerations to right forearm,afternoon
2022,8,Summer,12:00-17:59,USA,FLORIDA,Diving/Snorkeling,Male,10,10-19,No,Unprovoked,"Lower left leg severely bitten, necessitating surgical amputation",afternoon
2022,8,Summer,06:00-11:59,USA,CALIFORNIA,Surfing/Boardsports,Male,-1,Unknown,No,Unprovoked,"No injury, board bitten",morning
2022,7,Summer,12:00-17:59,USA,FLORIDA,In Water,Male,33,30-39,No,Unprovoked,Minor bite to left  foot,afternoon
2022,7,Summer,12:00-17:59,USA,NEW YORK,Surfing/Boardsports,Male,16,10-19,No,Unprovoked,Four-inch cut to right foot,afternoon
2022,7,Summer,06:00-11:59,USA,NOIRTH CAROLINA,Surfing/Boardsports,Female,-1,Unknown,No,Unprovoked,Lacerations to lower leg,morning
2022,7,Summer,12:00-17:59,USA,FLORIDA,Fishing,Male,-1,Unknown,No,Provoked,Fingrt bitten while releasing hooked shark PROVOKED INCUDEBT,afternoon
2022,7,Summer,06:00-11:59,USA,NEW YORK,Surfing/Boardsports,Male,41,40-49,No,Unprovoked,Two-inch laceration to leg,morning
2022,7,Summer,06:00-11:59,USA,NEW YORK,Swimming,Male,17,10-19,No,Unprovoked,Minor injury to foot,morning
2022,7,Summer,06:00-11:59,USA,FLORIDA,Surfing/Boardsports,Male,28,20-29,No,Unprovoked,Foot bitten,morning
2022,7,Summer,06:00-11:59,USA,NEW YORK,Swimming,Male,-1,Unknown,No,Unprovoked,Injuries to chest and right hand,morning
2022,6,Summer,12:00-17:59,USA,NEW YORK,Swimming,Male,-1,Unknown,No,Unprovoked,Injury to right foot,afternoon
2022,6,Summer,12:00-17:59,USA,FLORIDA,Fishing,Female,17,10-19,No,Unprovoked,Severe bites to leg,afternoon
2022,6,Summer,18:00-20:59,USA,FLORIDA,Swimming,Female,35,30-39,No,Unprovoked,Laceration to leg,evening
2022,6,Summer,12:00-17:59,USA,FLORIDA,In Water,Male,-1,Unknown,No,Unprovoked,Laceration to leg,afternoon
2022,6,Summer,12:00-17:59,SOUTH AFRICA,WESTERN CAPE PROVINCE,Swimming,Male,-1,Unknown,Yes,Unprovoked,FATAL,afternoon
2022,6,Summer,06:00-11:59,USA,CALIFORNIA,Swimming,Male,62,60-69,No,Unprovoked,Stomach and leg injuries including a broken femur,morning
2022,6,Summer,12:00-17:59,AUSTRALIA,WESTERN AUSTRALIA,Swimming,Female,-1,Unknown,No,Unprovoked,Minor injury,afternoon
2022,5,Spring,18:00-20:59,USA,GEORGIA,Fishing,Male,-1,Unknown,No,Provoked,Thumb bitten by hooked shark PROVOKED INCIDENT,evening
2022,4,Spring,12:00-17:59,USA,ALABAMA,Swimming,Male,17,10-19,No,Unprovoked,Bite to right foot,afternoon
2022,4,Spring,12:00-17:59,USA,FLORIDA,In Water,Male,-1,Unknown,No,Unprovoked,Bite near big toe,afternoon
2022,4,Spring,12:00-17:59,USA,NEW JERSEY,Shark interaction,Female,12,10-19,No,Provoked,Finger nipped by captive shark PROVOKED INCIDENT,afternoon
2022,4,Spring,06:00-11:59,USA,FLORIDA,Boating/Paddling,Male,-1,Unknown,No,Unprovoked,No injury to occupants. Kayak bitten,morning
2022,3,Spring,06:00-11:59,USA,FLORIDA,Fishing,Male,50,50-59,No,Provoked,Knee bitten                    PROVOKED INCIDENT,morning
2022,3,Spring,12:00-17:59,AUSTRALIA,NEW SOUTH WALES,Surfing/Boardsports,Male,32,30-39,No,Unprovoked,Lacerations and punctures to leg and foot,afternoon
2022,3,Spring,12:00-17:59,USA,FLORIDA,Surfing/Boardsports,Male,20,20-29,No,Unprovoked,Bite to right foot,afternoon
2022,3,Spring,12:00-17:59,USA,FLORIDA,Fishing,Male,21,20-29,No,Provoked,Minor injuries to knee and calf of left leg                            PROVOKED INCIDENT                 ,afternoon
2022,3,Spring,06:00-11:59,AUSTRALIA,NEW SOUTH WALES,Surfing/Boardsports,Male,-1,Unknown,No,Unprovoked,"No injury, board bitten",morning
2022,2,Winter,06:00-11:59,USA,CALIFORNIA,Surfing/Boardsports,Male,42,40-49,Yes,Unprovoked,FATAL,morning
2022,2,Winter,12:00-17:59,AUSTRALIA,NEW SOUTH WALES,Swimming,Male,36,30-39,Yes,Unprovoked,FATAL,afternoon
2022,2,Winter,12:00-17:59,USA,FLORIDA,Surfing/Boardsports,Male,18,10-19,No,Unprovoked,Puncture wounds to foot,afternoon
2022,2,Winter,06:00-11:59,AUSTRALIA,WESTERN AUSTRALIA,In Water,Female,20,20-29,No,Unprovoked,Torso bitten,morning
2022,1,Winter,06:00-11:59,SOUTH AFRICA,KWAZULU-NATAL,Fishing,Male,-1,Unknown,No,Provoked,"PROVOKED INCIDENT               No injury to occupants, shark bit ski",morning
2022,1,Winter,12:00-17:59,USA,FLORIDA,Surfing/Boardsports,Female,42,40-49,No,Unprovoked,Punctures to leg,afternoon
2021,12,Winter,06:00-11:59,USA,LOS ANGELES,Surfing/Boardsports,Male,31,30-39,Yes,Unprovoked,Fatal bite to chest,morning
2021,12,Winter,06:00-11:59,AUSTRALIA,QUEENSLAND,Fishing,Male,24,20-29,No,Unprovoked,Laceration to leg,morning
2021,12,Winter,18:00-20:59,AUSTRALIA,VICTORIA,Swimming,Female,15,10-19,No,Unprovoked,Lacerations to right calf and hand,evening
2021,12,Winter,18:00-20:59,AUSTRALIA,VICTORIA,Swimming,Male,15,10-19,No,Unprovoked,Lacerations to back,evening
2021,11,Autumn,06:00-11:59,USA,HAWAII,Fishing,Female,27,20-29,No,Unprovoked,Leg bitten,morning
2021,11,Autumn,06:00-11:59,AUSTRALIA,WESTERN AUSTRALIA,Swimming,Male,57,50-59,Yes,Unprovoked,FATAL,morning
2021,10,Autumn,12:00-17:59,USA,FLORIDA,Swimming,Male,-1,Unknown,No,Unprovoked,Injury to lower left leg,afternoon
2021,10,Autumn,06:00-11:59,USA,CALIFORNIA,Surfing/Boardsports,Male,38,30-39,No,Unprovoked,Injury to posterior left thigh,morning
2021,9,Autumn,12:00-17:59,USA,FLORIDA,Surfing/Boardsports,Male,-1,Unknown,No,Unprovoked,Minor injury to right arm,afternoon
